level1_colisao_inimigos:
.byte	
	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
	1,1,1,1,0,0,0,0,0,1,6,7,8,1,0,0,0,0,0,1,
	1,1,1,1,0,1,1,1,0,1,0,9,0,1,0,1,1,1,0,1,
	1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
	1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,
	1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,
	1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,
	1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,
	1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,
	1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,
	1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,
	1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,
	1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,
	1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
        1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1


# 0 = lugar onde pode andar
# 1 = lugar onde nao pode andar
# 6, 7, 8, 9 = inimigos 
